seq,id,probability,1-probability,prediction,label
0,196609,0.002536405662307546,0.9974635943376925,0,0
0,294915,0.033932300225504766,0.9660676997744952,0,0
0,196615,0.060293682656914566,0.9397063173430854,0,0
0,234839,0.0345626911290353,0.9654373088709647,0,0
0,294925,0.012530500499014826,0.9874694995009852,0,0
0,65557,0.0010417443594591172,0.9989582556405409,0,0
0,229400,0.007015925143065774,0.9929840748569342,0,0
0,98330,0.182932341228037,0.817067658771963,0,0
0,182654,0.11129488626002416,0.8887051137399758,0,0
0,294941,0.05531920003027385,0.9446807999697262,0,0
0,229414,0.00794481797514062,0.9920551820248594,0,0
0,262186,0.007180129746658121,0.9928198702533418,0,0
0,196651,0.008507433052229759,0.9914925669477702,0,0
0,262189,0.10607467596122912,0.8939253240387709,0,0
0,262191,0.025031957186965288,0.9749680428130347,0,0
0,262193,0.00264985576122192,0.9973501442387781,0,0
0,169310,0.02946829100492067,0.9705317089950793,0,0
0,98359,0.41669163083326943,0.5833083691667306,0,0
0,294968,0.016133660995636033,0.9838663390043639,0,0
0,317517,0.0400340316986642,0.9599659683013358,0,0
0,322229,0.9999529337944039,4.7066205596135724e-05,1,1
0,262213,0.5661469741780082,0.4338530258219918,0,0
0,229448,0.10491158057753094,0.8950884194224691,0,0
0,32841,0.016917154827287378,0.9830828451727126,0,0
0,32842,0.014057667034515036,0.985942332965485,0,0
0,305847,0.9967925551234718,0.0032074448765282426,1,1
0,98380,0.046671225251713626,0.9533287747482864,0,0
0,294991,0.12984993166536532,0.8701500683346347,0,0
0,229456,0.017587614763759047,0.982412385236241,0,0
0,32849,0.0019654996091043367,0.9980345003908957,0,0
0,316771,0.007450203734246683,0.9925497962657533,0,0
0,229460,0.0006724865820477374,0.9993275134179522,0,0
0,163931,0.7955864804746915,0.2044135195253085,0,0
0,229471,0.05256817702784101,0.947431822972159,0,0
0,295009,0.35069241213782365,0.6493075878621763,0,0
0,295011,0.17165196594090074,0.8283480340590993,0,0
0,284006,0.9924346649066125,0.007565335093387526,1,0
0,229478,0.12309079652504173,0.8769092034749583,0,0
0,114705,0.04509518225487328,0.9549048177451267,0,0
0,32872,0.0013345048051978093,0.9986654951948022,0,0
0,98410,0.015762027398927597,0.9842379726010724,0,0
0,163950,0.07420198726952733,0.9257980127304727,0,0
0,229490,0.06100174413492852,0.9389982558650715,0,0
0,327796,0.0024040691987778228,0.9975959308012222,0,0
0,229493,0.01641873850202498,0.983581261497975,0,0
0,196727,0.4258974468930699,0.5741025531069301,0,0
0,196728,0.05417168786383864,0.9458283121361614,0,0
0,213012,0.19343887802404203,0.806561121975958,0,0
0,327343,0.05807086807226919,0.9419291319277308,0,0
0,126,0.04568015064408509,0.954319849355915,0,0
0,327809,0.08964184705318487,0.9103581529468151,0,0
0,229509,0.2527168272130342,0.7472831727869658,0,0
0,65670,0.027690440590398727,0.9723095594096013,0,0
0,98439,0.050183051126718115,0.9498169488732819,0,0
0,196751,0.45569058054457606,0.5443094194554239,0,0
0,327826,0.998383857512382,0.0016161424876179886,1,0
0,240323,0.02184560272990116,0.9781543972700988,0,0
0,98453,0.00838613231214656,0.9916138676878534,0,0
0,196760,0.01171390612765464,0.9882860938723453,0,0
0,295065,0.009369097481648641,0.9906309025183514,0,0
0,154,0.9987207837231215,0.0012792162768785476,1,1
0,65692,0.009519177635891697,0.9904808223641083,0,0
0,131232,0.15656437531395295,0.843435624686047,0,0
0,300400,0.028695834081953052,0.9713041659180469,0,0
0,32930,0.06705459885093504,0.932945401149065,0,0
0,229541,0.42027610152823214,0.5797238984717679,0,0
0,196775,0.17625271222504732,0.8237472877749527,0,0
0,229546,0.0262394174270182,0.9737605825729818,0,0
0,229548,0.1825187781671214,0.8174812218328786,0,0
0,327854,0.025838330058670613,0.9741616699413294,0,0
0,311325,0.00972147143434873,0.9902785285656512,0,0
0,131249,0.17364611636915822,0.8263538836308417,0,0
0,333351,0.1690528123384402,0.8309471876615598,0,0
0,65717,0.9332358838978607,0.06676411610213928,1,1
0,229562,0.0020934510564917085,0.9979065489435083,0,0
0,327867,0.2487313179888573,0.7512686820111427,0,0
0,131260,0.13067455956225493,0.8693254404377451,0,0
0,262337,0.037968229088656276,0.9620317709113437,0,0
0,327876,0.49246888730573735,0.5075311126942627,0,1
0,98503,0.04107343411528214,0.9589265658847179,0,0
0,327881,0.004497762856492007,0.9955022371435079,0,0
0,327882,0.06343837297080114,0.9365616270291989,0,0
0,229579,0.024929064865157533,0.9750709351348424,0,0
0,327886,0.03142619059066203,0.968573809409338,0,0
0,229584,0.05015314852791765,0.9498468514720824,0,0
0,262353,0.02742981157662388,0.9725701884233762,0,0
0,327890,0.031510947685661886,0.9684890523143381,0,0
0,262357,0.056377818862506715,0.9436221811374933,0,0
0,262360,0.06938024429758648,0.9306197557024135,0,0
0,262361,0.5001967971417669,0.4998032028582331,0,1
0,223,0.9227590643945746,0.07724093560542544,1,1
0,65761,0.954650068358982,0.04534993164101797,1,0
0,164067,0.03137251710919786,0.9686274828908021,0,1
0,298030,0.3804766174774938,0.6195233825225062,0,1
0,229613,0.041024725592572045,0.9589752744074279,0,0
0,218493,0.04958268992872944,0.9504173100712705,0,0
0,147496,0.096498759383939,0.903501240616061,0,0
0,229618,0.9756845504073454,0.024315449592654637,1,1
0,289491,0.5879266967600347,0.41207330323996527,0,0
0,327924,0.1210523333770656,0.8789476666229344,0,0
0,295157,0.24889430165107074,0.7511056983489293,0,1
0,327926,0.09962893616756648,0.9003710638324335,0,0
0,164088,0.02106603552173939,0.9789339644782606,0,0
0,65785,0.47114511512429336,0.5288548848757066,0,0
0,229626,0.04260821560168331,0.9573917843983167,0,0
0,316799,0.4007233562301628,0.5992766437698371,0,0
0,262401,0.019210623742345168,0.9807893762576548,0,0
0,164098,0.05570147529227599,0.944298524707724,0,0
0,309444,0.1043079719981261,0.8956920280018739,0,0
0,249169,0.2070608515925196,0.7929391484074804,0,0
0,131339,0.0016642106294180962,0.9983357893705819,0,0
0,273112,0.2917983007070486,0.7082016992929514,0,0
0,283,0.39134805034863496,0.608651949651365,0,0
0,295196,0.010324629802430586,0.9896753701975695,0,0
0,196895,0.18140816154955608,0.8185918384504439,0,0
0,33056,0.03245408278164537,0.9675459172183546,0,0
0,65826,0.0012973888881403564,0.9987026111118597,0,0
0,109275,0.7821488550607346,0.21785114493926538,0,0
0,164133,0.04881536372164037,0.9511846362783596,0,0
0,251271,0.5027115706514288,0.4972884293485712,0,1
0,300,0.024024278197902548,0.9759757218020975,0,0
0,253152,0.412016406889775,0.5879835931102251,0,0
0,327982,0.040596010886710845,0.9594039891132892,0,0
0,327983,0.015092487843821915,0.9849075121561781,0,0
